ID,Year,Fund Number,Fund Name,Fund Type,Department,Amount
1,2013,002,General Fund,Appropriation,Agriculture,731051
2,2013,002,General Fund,Appropriation,Benefits Administration,662283
3,2013,002,General Fund,Appropriation,Board of Equalization,8534
4,2013,002,General Fund,Appropriation,Budget and Management Services,1595912
5,2013,002,General Fund,Appropriation,Circuit Court,1000917
6,2013,002,General Fund,Appropriation,City Attorney,3697536
7,2013,002,General Fund,Appropriation,City Auditor,628605
8,2013,002,General Fund,Appropriation,City Clerk,723543
9,2013,002,General Fund,Appropriation,City Manager,2539252
10,2013,002,General Fund,Appropriation,City Real Estate Assessor,2988649
11,2013,002,General Fund,Appropriation,City Treasurer,5124747
12,2013,002,General Fund,Appropriation,Clerk of the Circuit Court,3005672
13,2013,002,General Fund,Appropriation,Commissioner of the Revenue,4111394
14,2013,002,General Fund,Appropriation,Commonwealth's Attorney,7361326
15,2013,002,General Fund,Appropriation,Communications and Information Technology,22410814
16,2013,002,General Fund,Appropriation,Community Organization Grants,408698
17,2013,002,General Fund,Appropriation,Computer Replacement Program,0
18,2013,002,General Fund,Appropriation,Convention and Visitor Bureau,8166845
19,2013,002,General Fund,Appropriation,Cultural Affairs,1357949
20,2013,002,General Fund,Appropriation,Debt Service,45741032
21,2013,002,General Fund,Appropriation,Economic Development,2343973
22,2013,002,General Fund,Appropriation,Emergency Communications and Citizen Services,8585774
23,2013,002,General Fund,Appropriation,Emergency Medical Services,7903002
24,2013,002,General Fund,Appropriation,Employee Special Benefits,5487007
25,2013,002,General Fund,Appropriation,Finance,4759922
26,2013,002,General Fund,Appropriation,Fire,43502485
27,2013,002,General Fund,Appropriation,General District Court,412841
28,2013,002,General Fund,Appropriation,General Registrar,1581147
29,2013,002,General Fund,Appropriation,Health,2866303
30,2013,002,General Fund,Appropriation,Housing and Neighborhood Preservation,1683167
31,2013,002,General Fund,Appropriation,Human Resources,3774942
32,2013,002,General Fund,Appropriation,Human Services,100285120
33,2013,002,General Fund,Appropriation,Independent Financial Services,103809
34,2013,002,General Fund,Appropriation,Juvenile and Domestic Relations District Court,137973
35,2013,002,General Fund,Appropriation,Juvenile Probation,1480901
36,2013,002,General Fund,Appropriation,Leases,1522187
37,2013,002,General Fund,Appropriation,Library,15749741
38,2013,002,General Fund,Appropriation,Magistrates,93400
39,2013,002,General Fund,Appropriation,Municipal Council,600222
40,2013,002,General Fund,Appropriation,Museums,8981376
41,2013,002,General Fund,Appropriation,Parks and Recreation,12565840
42,2013,002,General Fund,Appropriation,Planning,9260575
43,2013,002,General Fund,Appropriation,Police,90179189
44,2013,002,General Fund,Appropriation,Public Works,63677559
45,2013,002,General Fund,Appropriation,Regional Participation,2078872
46,2013,002,General Fund,Appropriation,Reserve for Contingencies,0
47,2013,002,General Fund,Appropriation,Revenue Reimbursements,15801269
